"COMPONENT","STATUS","LOGICAL-CLOCK-TIMESTAMP"
"DoorSensor","false","29795"
"MotionSensor","motion-detected","29801"
"DoorSensor","false","29804"
"MotionSensor","motion-detected","29810"
"DoorSensor","false","29813"
"MotionSensor","motion-detected","29819"
"DoorSensor","false","29822"
"MotionSensor","motion-detected","29828"
"DoorSensor","false","29831"
"MotionSensor","motion-detected","29837"
"DoorSensor","false","29840"
"MotionSensor","motion-detected","29846"
"DoorSensor","false","29849"
"MotionSensor","motion-detected","29855"
"DoorSensor","false","29858"
"MotionSensor","motion-detected","29864"
"DoorSensor","false","29867"
"MotionSensor","motion-detected","29873"
"DoorSensor","false","29876"
"MotionSensor","motion-detected","29882"
"DoorSensor","false","29885"
"MotionSensor","motion-detected","29891"
"DoorSensor","false","29894"
"MotionSensor","motion-detected","29900"
"DoorSensor","false","29903"
"MotionSensor","motion-detected","29909"
"DoorSensor","false","29912"
"MotionSensor","motion-detected","29918"
"DoorSensor","false","29921"
"MotionSensor","motion-detected","29927"
"DoorSensor","false","29930"
"MotionSensor","motion-detected","29936"
"DoorSensor","false","29939"
"MotionSensor","motion-detected","29945"
"DoorSensor","false","29948"
"MotionSensor","motion-detected","29954"
"DoorSensor","false","29957"
"MotionSensor","motion-detected","29963"
"DoorSensor","false","29966"
"MotionSensor","motion-detected","29972"
"DoorSensor","false","29975"
"MotionSensor","motion-detected","29981"
"DoorSensor","false","29984"
"MotionSensor","motion-detected","29990"
"DoorSensor","false","29993"
"MotionSensor","motion-detected","29999"
"DoorSensor","false","30002"
"MotionSensor","motion-detected","30008"
"DoorSensor","false","30011"
"MotionSensor","motion-detected","30017"
"DoorSensor","false","30020"
"MotionSensor","motion-detected","30026"
"DoorSensor","false","30029"
"MotionSensor","motion-detected","30035"
"DoorSensor","false","30038"
"MotionSensor","motion-detected","30044"
"DoorSensor","false","30047"
"MotionSensor","motion-detected","30053"
"DoorSensor","false","30056"
"MotionSensor","motion-detected","30062"
"DoorSensor","false","30065"
"MotionSensor","motion-detected","30071"
"DoorSensor","false","30074"
"MotionSensor","motion-detected","30080"
"DoorSensor","false","30083"
"MotionSensor","motion-detected","30089"
"DoorSensor","false","30092"
"MotionSensor","motion-detected","30098"
"DoorSensor","false","30101"
"MotionSensor","motion-detected","30107"
"DoorSensor","false","30110"
"MotionSensor","motion-detected","30116"
"DoorSensor","false","30119"
"MotionSensor","motion-detected","30125"
"DoorSensor","false","30128"
"MotionSensor","motion-detected","30134"
"DoorSensor","false","30137"
"MotionSensor","motion-detected","30143"
"DoorSensor","false","30146"
"MotionSensor","motion-detected","30152"
"DoorSensor","false","30155"
"MotionSensor","motion-detected","30161"
"DoorSensor","false","30164"
"MotionSensor","motion-detected","30170"
"DoorSensor","false","30173"
"MotionSensor","motion-detected","30179"
"DoorSensor","false","30182"
"MotionSensor","motion-detected","30188"
"DoorSensor","false","30191"
"MotionSensor","motion-detected","30197"
"DoorSensor","false","30200"
"MotionSensor","motion-detected","30206"
"DoorSensor","false","30209"
"MotionSensor","motion-detected","30215"
"DoorSensor","false","30218"
"MotionSensor","motion-detected","30224"
"DoorSensor","false","30227"
"MotionSensor","motion-detected","30233"
"DoorSensor","false","30236"
"MotionSensor","motion-detected","30242"
"DoorSensor","false","30245"
"MotionSensor","motion-detected","30251"
"DoorSensor","false","30254"
"MotionSensor","motion-detected","30260"
"DoorSensor","false","30263"
"MotionSensor","motion-detected","30269"
"DoorSensor","false","30272"
"MotionSensor","motion-detected","30278"
"DoorSensor","false","30281"
"MotionSensor","motion-detected","30287"
"DoorSensor","false","30290"
"MotionSensor","motion-detected","30296"
"DoorSensor","false","30299"
"MotionSensor","motion-detected","30305"
"DoorSensor","false","30308"
"MotionSensor","motion-detected","30314"
"DoorSensor","false","30317"
"MotionSensor","motion-detected","30323"
"DoorSensor","false","30326"
"MotionSensor","motion-detected","30332"
"DoorSensor","false","30335"
"MotionSensor","motion-detected","30341"
"DoorSensor","false","30344"
"MotionSensor","motion-detected","30350"
"DoorSensor","false","30353"
"MotionSensor","motion-detected","30359"
"DoorSensor","false","30362"
"MotionSensor","motion-detected","30368"
"DoorSensor","false","30371"
"MotionSensor","motion-detected","30377"
"DoorSensor","false","30380"
"MotionSensor","motion-detected","30386"
"DoorSensor","false","30389"
"MotionSensor","motion-detected","30395"
"DoorSensor","false","30398"
"MotionSensor","motion-detected","30404"
"DoorSensor","false","30407"
"MotionSensor","motion-detected","30413"
"DoorSensor","false","30416"
"MotionSensor","motion-detected","30422"
"DoorSensor","false","30425"
"MotionSensor","motion-detected","30431"
"DoorSensor","false","30434"
"MotionSensor","motion-detected","30440"
"DoorSensor","false","30443"
"MotionSensor","motion-detected","30449"
"DoorSensor","false","30452"
"MotionSensor","motion-detected","30458"
"DoorSensor","false","30461"
"MotionSensor","motion-detected","30467"
"DoorSensor","false","30470"
"MotionSensor","motion-detected","30476"
"DoorSensor","false","30479"
"MotionSensor","motion-detected","30485"
"DoorSensor","false","30488"
"MotionSensor","motion-detected","30494"
"DoorSensor","false","30497"
"MotionSensor","motion-detected","30503"
"DoorSensor","false","30506"
"MotionSensor","motion-detected","30512"
"DoorSensor","false","30515"
"MotionSensor","motion-detected","30521"
"DoorSensor","false","30524"
"MotionSensor","motion-detected","30530"
"DoorSensor","false","30533"
"MotionSensor","motion-detected","30539"
"DoorSensor","false","30542"
"MotionSensor","motion-detected","30548"
"DoorSensor","false","30551"
"MotionSensor","motion-detected","30557"
"DoorSensor","false","30560"
"MotionSensor","motion-detected","30566"
"DoorSensor","false","30569"
"MotionSensor","motion-detected","30575"
"DoorSensor","false","30578"
"MotionSensor","motion-detected","30584"
"DoorSensor","false","30587"
"MotionSensor","motion-detected","30593"
"DoorSensor","false","30596"
"MotionSensor","motion-detected","30602"
"DoorSensor","false","30605"
"MotionSensor","motion-detected","30611"
"DoorSensor","false","30614"
"MotionSensor","motion-detected","30620"
"DoorSensor","false","30623"
"MotionSensor","motion-detected","30629"
"DoorSensor","false","30632"
"MotionSensor","motion-detected","30638"
"DoorSensor","false","30641"
"MotionSensor","motion-detected","30647"
"DoorSensor","false","30650"
"MotionSensor","motion-detected","30656"
"DoorSensor","false","30659"
"MotionSensor","motion-detected","30665"
"DoorSensor","false","30668"
"MotionSensor","motion-detected","30674"
"DoorSensor","false","30677"
"MotionSensor","motion-detected","30683"
"DoorSensor","false","30686"
"MotionSensor","motion-detected","30692"
"DoorSensor","false","30695"
"MotionSensor","motion-detected","30701"
"DoorSensor","false","30704"
"MotionSensor","motion-detected","30710"
"DoorSensor","false","30713"
"MotionSensor","motion-detected","30719"
"DoorSensor","false","30722"
"MotionSensor","motion-detected","30728"
"DoorSensor","false","30731"
"MotionSensor","motion-detected","30737"
"DoorSensor","false","30740"
"MotionSensor","motion-detected","30746"
"DoorSensor","false","30749"
"MotionSensor","motion-detected","30755"
"DoorSensor","false","30758"
"MotionSensor","motion-detected","30764"
"DoorSensor","false","30767"
"MotionSensor","motion-detected","30773"
"DoorSensor","false","30776"
"MotionSensor","motion-detected","30782"
"DoorSensor","false","30785"
"MotionSensor","motion-detected","30791"
"DoorSensor","false","30794"
"MotionSensor","motion-detected","30800"
"DoorSensor","false","30803"
"MotionSensor","motion-detected","30809"
"DoorSensor","false","30812"
"MotionSensor","motion-detected","30818"
"DoorSensor","false","30821"
"MotionSensor","motion-detected","30827"
"DoorSensor","false","30830"
"MotionSensor","motion-detected","30836"
"DoorSensor","false","30839"
"MotionSensor","motion-detected","30845"
"DoorSensor","false","30848"
"MotionSensor","motion-detected","30854"
"DoorSensor","false","30857"
"MotionSensor","motion-detected","30863"
"DoorSensor","false","30866"
"MotionSensor","motion-detected","30872"
"DoorSensor","false","30875"
"MotionSensor","motion-detected","30881"
"DoorSensor","false","30884"
"MotionSensor","motion-detected","30890"
"DoorSensor","false","30893"
"MotionSensor","motion-detected","30899"
"DoorSensor","false","30902"
"MotionSensor","motion-detected","30908"
"DoorSensor","false","30911"
"MotionSensor","motion-detected","30917"
"DoorSensor","false","30920"
"MotionSensor","motion-detected","30926"
"DoorSensor","false","30929"
"MotionSensor","motion-detected","30935"
